SPY,SPY,SPY,SPY,SPY,SPY,SPY,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,TROW,TROW,TROW,TROW,TROW,TROW,TROW,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,VTI,VTI,VTI,VTI,VTI,VTI,VTI
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
263.87,265.1,262.11,264.96,76110600,296318,263.924372,263.87,265.1,262.11,264.96,76110600,296318,263.924372,263.87,265.1,262.11,264.96,76110600,296318,263.924372,263.87,265.1,262.11,264.96,76110600,296318,263.924372,263.87,265.1,262.11,264.96,76110600,296318,263.924372
264.76,265.68,262.76,263.17,86373743,300565,264.118423,264.76,265.68,262.76,263.17,86373743,300565,264.118423,264.76,265.68,262.76,263.17,86373743,300565,264.118423,264.76,265.68,262.76,263.17,86373743,300565,264.118423,264.76,265.68,262.76,263.17,86373743,300565,264.118423
262.26,263.36,259.05,262.59,136921861,519981,261.686187,262.26,263.36,259.05,262.59,136921861,519981,261.686187,262.26,263.36,259.05,262.59,136921861,519981,261.686187,262.26,263.36,259.05,262.59,136921861,519981,261.686187,262.26,263.36,259.05,262.59,136921861,519981,261.686187
261.52,266.7892,261.15,265.92,91230645,326945,264.854905,261.52,266.7892,261.15,265.92,91230645,326945,264.854905,261.52,266.7892,261.15,265.92,91230645,326945,264.854905,261.52,266.7892,261.15,265.92,91230645,326945,264.854905,261.52,266.7892,261.15,265.92,91230645,326945,264.854905
266.89,268.02,266.11,266.92,56495099,242699,267.100589,266.89,268.02,266.11,266.92,56495099,242699,267.100589,266.89,268.02,266.11,266.92,56495099,242699,267.100589,266.89,268.02,266.11,266.92,56495099,242699,267.100589,266.89,268.02,266.11,266.92,56495099,242699,267.100589
266.5,267.325,265.15,266.89,67703408,264713,266.430002,266.5,267.325,265.15,266.89,67703408,264713,266.430002,266.5,267.325,265.15,266.89,67703408,264713,266.430002,266.5,267.325,265.15,266.89,67703408,264713,266.430002,266.5,267.325,265.15,266.89,67703408,264713,266.430002
267.68,269.865,267.09,269.47,59773310,255999,268.71321,267.68,269.865,267.09,269.47,59773310,255999,268.71321,267.68,269.865,267.09,269.47,59773310,255999,268.71321,267.68,269.865,267.09,269.47,59773310,255999,268.71321,267.68,269.865,267.09,269.47,59773310,255999,268.71321
270.34,272.39,270.22,272.0,72065572,258139,271.419538,270.34,272.39,270.22,272.0,72065572,258139,271.419538,270.34,272.39,270.22,272.0,72065572,258139,271.419538,270.34,272.39,270.22,272.0,72065572,258139,271.419538,270.34,272.39,270.22,272.0,72065572,258139,271.419538
272.16,273.15,271.58,272.64,59909145,215034,272.463557,272.16,273.15,271.58,272.64,59909145,215034,272.463557,272.16,273.15,271.58,272.64,59909145,215034,272.463557,272.16,273.15,271.58,272.64,59909145,215034,272.463557,272.16,273.15,271.58,272.64,59909145,215034,272.463557
273.34,274.08,272.36,272.95,55292206,215002,273.086937,273.34,274.08,272.36,272.95,55292206,215002,273.086937,273.34,274.08,272.36,272.95,55292206,215002,273.086937,273.34,274.08,272.36,272.95,55292206,215002,273.086937,273.34,274.08,272.36,272.95,55292206,215002,273.086937
271.59,271.61,270.03,271.03,87156564,303002,270.964245,271.59,271.61,270.03,271.03,87156564,303002,270.964245,271.59,271.61,270.03,271.03,87156564,303002,270.964245,271.59,271.61,270.03,271.03,87156564,303002,270.964245,271.59,271.61,270.03,271.03,87156564,303002,270.964245
271.14,272.76,271.11,272.15,53944096,199226,271.94415,271.14,272.76,271.11,272.15,53944096,199226,271.94415,271.14,272.76,271.11,272.15,53944096,199226,271.94415,271.14,272.76,271.11,272.15,53944096,199226,271.94415,271.14,272.76,271.11,272.15,53944096,199226,271.94415
271.94,273.23,271.13,272.01,56684400,226826,272.176213,271.94,273.23,271.13,272.01,56684400,226826,272.176213,271.94,273.23,271.13,272.01,56684400,226826,272.176213,271.94,273.23,271.13,272.01,56684400,226826,272.176213,271.94,273.23,271.13,272.01,56684400,226826,272.176213
